"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7146","testCalculatorOperations","Suite","Sat Apr 26 23:19:06 GMT 2025","passed","Sat Apr 26 23:19:14 GMT 2025","com.clarkewerton.android.CalculatorTest","Android emulator 2","com.clarkewerton.android.CalculatorTest","testCalculatorOperations"
"","5760","testCalculatorOperations","Suite","Sat Apr 26 23:19:06 GMT 2025","passed","Sat Apr 26 23:19:12 GMT 2025","com.clarkewerton.android.CalculatorTest","Android emulator 1","com.clarkewerton.android.CalculatorTest","testCalculatorOperations"
"","18730","testCalculatorOperations","Suite","Sat Apr 26 23:17:43 GMT 2025","passed","Sat Apr 26 23:18:01 GMT 2025","com.clarkewerton.android.CalculatorTest","GooglePixel7","com.clarkewerton.android.CalculatorTest","testCalculatorOperations"
"","5308","testCalculatorOperations","Suite","Sat Apr 26 23:19:23 GMT 2025","passed","Sat Apr 26 23:19:28 GMT 2025","com.clarkewerton.android.CalculatorTest","Android emulator 1","com.clarkewerton.android.CalculatorTest","testCalculatorOperations"
"","5479","testCalculatorOperations","Suite","Sat Apr 26 23:19:40 GMT 2025","passed","Sat Apr 26 23:19:46 GMT 2025","com.clarkewerton.android.CalculatorTest","Android emulator 1","com.clarkewerton.android.CalculatorTest","testCalculatorOperations"
"","8958","testCalculatorOperations","Suite","Sat Apr 26 23:18:57 GMT 2025","passed","Sat Apr 26 23:19:06 GMT 2025","com.clarkewerton.android.CalculatorTest","Android emulator 2","com.clarkewerton.android.CalculatorTest","testCalculatorOperations"
"","22510","testCalculatorOperations","Suite","Sat Apr 26 23:20:56 GMT 2025","passed","Sat Apr 26 23:21:18 GMT 2025","com.clarkewerton.android.CalculatorTest","GooglePixel8","com.clarkewerton.android.CalculatorTest","testCalculatorOperations"
"","2802","testCalculatorOperations","Suite","Sat Apr 26 23:20:18 GMT 2025","passed","Sat Apr 26 23:20:21 GMT 2025","com.clarkewerton.android.CalculatorTest","Android emulator 2","com.clarkewerton.android.CalculatorTest","testCalculatorOperations"
"","7","testCalculatorOperations","Suite","Sat Apr 26 23:20:21 GMT 2025","passed","Sat Apr 26 23:20:21 GMT 2025","com.clarkewerton.android.CalculatorTest","Android emulator 2","com.clarkewerton.android.CalculatorTest","testCalculatorOperations"
"","5042","testCalculatorOperations","Suite","Sat Apr 26 23:19:50 GMT 2025","passed","Sat Apr 26 23:19:55 GMT 2025","com.clarkewerton.android.CalculatorTest","Android emulator 1","com.clarkewerton.android.CalculatorTest","testCalculatorOperations"
"","1","testCalculatorOperations","Suite","Sat Apr 26 23:24:04 GMT 2025","passed","Sat Apr 26 23:24:04 GMT 2025","com.clarkewerton.android.CalculatorTest","GooglePixel8","com.clarkewerton.android.CalculatorTest","testCalculatorOperations"
"","3698","testCalculatorOperations","Suite","Sat Apr 26 23:20:18 GMT 2025","passed","Sat Apr 26 23:20:22 GMT 2025","com.clarkewerton.android.CalculatorTest","Android emulator 1","com.clarkewerton.android.CalculatorTest","testCalculatorOperations"
"","5778","testCalculatorOperations","Suite","Sat Apr 26 23:19:12 GMT 2025","passed","Sat Apr 26 23:19:18 GMT 2025","com.clarkewerton.android.CalculatorTest","Android emulator 1","com.clarkewerton.android.CalculatorTest","testCalculatorOperations"
"","4479","testCalculatorOperations","Suite","Sat Apr 26 23:19:18 GMT 2025","passed","Sat Apr 26 23:19:22 GMT 2025","com.clarkewerton.android.CalculatorTest","Android emulator 2","com.clarkewerton.android.CalculatorTest","testCalculatorOperations"
"","17106","testCalculatorOperations","Suite","Sat Apr 26 23:22:43 GMT 2025","passed","Sat Apr 26 23:23:00 GMT 2025","com.clarkewerton.android.CalculatorTest","GooglePixel8","com.clarkewerton.android.CalculatorTest","testCalculatorOperations"
"","4192","testCalculatorOperations","Suite","Sat Apr 26 23:19:14 GMT 2025","passed","Sat Apr 26 23:19:18 GMT 2025","com.clarkewerton.android.CalculatorTest","Android emulator 2","com.clarkewerton.android.CalculatorTest","testCalculatorOperations"
"","5627","testCalculatorOperations","Suite","Sat Apr 26 23:19:57 GMT 2025","passed","Sat Apr 26 23:20:03 GMT 2025","com.clarkewerton.android.CalculatorTest","Android emulator 2","com.clarkewerton.android.CalculatorTest","testCalculatorOperations"
"","11387","testCalculatorOperations","Suite","Sat Apr 26 23:16:51 GMT 2025","passed","Sat Apr 26 23:17:03 GMT 2025","com.clarkewerton.android.CalculatorTest","GooglePixel7","com.clarkewerton.android.CalculatorTest","testCalculatorOperations"
"","16525","testCalculatorOperations","Suite","Sat Apr 26 23:22:07 GMT 2025","passed","Sat Apr 26 23:22:24 GMT 2025","com.clarkewerton.android.CalculatorTest","GooglePixel8","com.clarkewerton.android.CalculatorTest","testCalculatorOperations"
"","10571","testCalculatorOperations","Suite","Sat Apr 26 23:18:11 GMT 2025","passed","Sat Apr 26 23:18:22 GMT 2025","com.clarkewerton.android.CalculatorTest","GooglePixel7","com.clarkewerton.android.CalculatorTest","testCalculatorOperations"
